Názov obce,GPS,Názov obce (google maps),Okres,GPS,Okres (google maps),Čas autom,Čas autom (sekundy),Vzdialenosť autom,Vzdialenosť autom (metre)
Porostov,"[48.69844787, 22.16874399]","Porostov 45, 072 55 Porostov, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",9 mins,520,6.2 km,6172
Porúbka,"[48.7397044, 22.28983393]","Unnamed Road, 072 61 Porúbka, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",11 mins,665,8.3 km,8338
Priekopa,"[48.75605721, 22.29259048]","Unnamed Road, 072 61 Priekopa, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",19 mins,1166,12.1 km,12113
Remetské Hámre,"[48.88128315, 22.1815632]","Unnamed Road, 072 41 Vyšná Rybnica, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",19 mins,1150,18.4 km,18389
Ruská Bystrá,"[48.85615601, 22.29277787]","Ruská Bystrá 59, 072 64 Ruská Bystrá, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",26 mins,1574,25.5 km,25524
Ruskovce,"[48.77358212, 22.15931353]","Ruskovce 33, 072 42 Ruskovce, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",7 mins,420,4.5 km,4548
Ruský Hrabovec,"[48.85375827, 22.3487761]","Ruský Hrabovec 109, 072 64 Ruský Hrabovec, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",22 mins,1309,20.8 km,20802
Sejkov,"[48.68992384, 22.21666156]","Unnamed Road, 072 51 Sejkov, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",14 mins,848,10.8 km,10795
Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",1 min,0,1 m,0
Svätuš,"[48.68398283, 22.1385774]","3743, 072 55 Svätuš, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",12 mins,748,11.1 km,11122
Tašuľa,"[48.66482832, 22.15809696]","Unnamed Road, 072 52 Tašuľa, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",28 mins,1674,24.2 km,24212
Tibava,"[48.73640495, 22.21308797]","3801, 073 01 Tibava, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",4 mins,228,2.7 km,2696
Úbrež,"[48.7892304, 22.12183172]","072 42 Úbrež, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",10 mins,603,9.2 km,9211
Veľké Revištia,"[48.7485296, 22.10283537]","3792, 072 43 Veľké Revištia, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",7 mins,414,6.8 km,6787
Vojnatina,"[48.73453086, 22.23466447]","3801, 072 61 Vojnatina, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",6 mins,338,4.5 km,4453
Vyšná Rybnica,"[48.86907619, 22.2149048]","Unnamed Road, 072 41 Vyšná Rybnica, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",20 mins,1222,19.3 km,19255
Vyšné Nemecké,"[48.65984055, 22.26436027]","3791, 072 51 Vyšné Nemecké, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",13 mins,808,12.1 km,12135
Vyšné Remety,"[48.82406373, 22.16050229]","072 41 Vyšné Remety, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",14 mins,815,13.6 km,13566
Záhor,"[48.62847301, 22.20260356]","3809, 072 53 Záhor, Slovakia",Sobrance,"[48.74423463, 22.18099432]","3754 2-24, 073 01 Sobrance, Slovakia",17 mins,1019,15.3 km,15337
Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",1 min,0,1 m,0
Bílkove Humence,"[48.58919327, 17.24168963]","Bílkove Humence 98, 908 77 Bílkove Humence, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",25 mins,1521,24.0 km,23995
Borský Svätý Jur,"[48.59646559, 17.0639784]","1145, 908 79 Borský Svätý Jur, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",28 mins,1687,29.9 km,29885
Borský Mikuláš,"[48.62396141, 17.23273496]","Unnamed Road, 908 77 Borský Mikuláš, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",23 mins,1406,20.8 km,20795
Cerová,"[48.5805444, 17.39211016]","1166, 906 33 Cerová, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",18 mins,1093,15.7 km,15679
Čáry,"[48.66472483, 17.0776626]","Lachmannova 303, 908 43 Čáry, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",26 mins,1544,23.9 km,23899
Častkov,"[48.75459529, 17.36019161]","Unnamed Road, 906 04 Častkov, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",18 mins,1108,11.2 km,11194
Dojč,"[48.68371277, 17.25593307]","500, 906 02 Dojč, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",10 mins,575,8.8 km,8801
Hlboké,"[48.65038748, 17.4130665]","Unnamed Road, 906 31 Hlboké, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",10 mins,621,6.4 km,6375
Hradište pod Vrátnom,"[48.62518663, 17.49155501]","Hradište pod Vrátnom 119, 906 12 Hradište pod Vrátnom, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",19 mins,1117,16.5 km,16480
Jablonica,"[48.60048737, 17.43332518]","Jablonica, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",14 mins,857,12.3 km,12268
Koválov,"[48.70975587, 17.28185709]","Koválov 16, 906 03 Koválov, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",13 mins,774,10.8 km,10841
Kuklov,"[48.62943856, 17.07984358]","908 78 Kuklov, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",25 mins,1474,25.0 km,24979
Kúty,"[48.65635625, 17.00855578]","Hollého 413, 908 01 Kúty, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",31 mins,1842,29.7 km,29722
Lakšárska Nová Ves,"[48.57629597, 17.16584228]","590, 908 76 Lakšárska Nová Ves, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",25 mins,1478,26.0 km,25965
Moravský Svätý Ján,"[48.57187806, 16.98651252]","Moravský Svätý Ján 693, 908 71 Moravský Svätý Ján, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",35 mins,2096,35.0 km,34977
Osuské,"[48.63885563, 17.45166169]","Družstevná, 906 12 Osuské, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",17 mins,1046,14.5 km,14492
Plavecký Peter,"[48.53407035, 17.32410941]","Plavecký Peter 111, 906 35 Plavecký Peter, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",27 mins,1619,24.4 km,24370
Podbranč,"[48.73174619, 17.45508113]","Zadrieňová, 906 05 Podbranč-Zadrieňová, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",21 mins,1257,13.9 km,13879
Prietrž,"[48.6852704, 17.45555819]","1196, 906 11 Prietrž, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",13 mins,793,9.4 km,9406
Prievaly,"[48.55974882, 17.34615625]","501, 906 34 Prievaly, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",22 mins,1322,20.3 km,20283
Rovensko,"[48.71732165, 17.37321066]","905 01 Rovensko, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",11 mins,641,6.0 km,5962
Smolinské,"[48.68277994, 17.11765403]","Unnamed Road, 908 42 Smolinské, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",26 mins,1583,23.7 km,23742
Smrdáky,"[48.72355713, 17.30605181]","Smrdáky 19, 906 03 Smrdáky, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",12 mins,726,8.5 km,8504
Sobotište,"[48.74699524, 17.4157334]","1163, 906 05 Sobotište, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",17 mins,997,11.2 km,11165
Šajdíkove Humence,"[48.6518774, 17.28917038]","Unnamed Road, 906 07 Šajdíkove Humence, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",13 mins,766,6.8 km,6800
Šaštín-Stráže,"[48.63628658, 17.14400465]","Štúrova 1615/53, 908 41 Šaštín - Stráže-Šaštín, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",20 mins,1177,19.6 km,19624
Štefanov,"[48.67694096, 17.20047502]","1136, 906 45 Štefanov, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",15 mins,875,14.4 km,14364
Sekule,"[48.60905877, 16.98980377]","Sekule 444, 908 80 Sekule, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",32 mins,1946,32.6 km,32614
Rohov,"[48.73146532, 17.33735685]","Rohov 29, 906 04 Rohov, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",12 mins,736,8.4 km,8352
Rybky,"[48.71404246, 17.33422953]","1146, 906 04 Rybky, Slovakia",Senica,"[48.67794212, 17.36447764]","Štúrova 15-17, 905 01 Senica, Slovakia",9 mins,567,6.0 km,5961
Brestovec,"[48.79907368, 17.5531299]","Unnamed Road, 907 01 Brestovec, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",16 mins,985,10.7 km,10675
Brezová pod Bradlom,"[48.66780128, 17.54436444]","V Jarku 3012, 906 13 Brezová pod Bradlom, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",16 mins,965,12.7 km,12663
Bukovec,"[48.70063995, 17.49402239]","1183, 906 14 Bukovec, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",13 mins,751,9.4 km,9420
Chvojnica,"[48.79825626, 17.40347912]","Chvojnica 157, 906 06 Chvojnica, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",19 mins,1162,14.1 km,14132
Jablonka,"[48.72812163, 17.61458315]","Jablonka 147, 906 21 Jablonka, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",14 mins,837,9.6 km,9634
Košariská,"[48.66705405, 17.60729221]","499, 906 15 Horné Košariská, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",18 mins,1104,14.7 km,14744
Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",1 min,0,1 m,0
Polianka,"[48.71906911, 17.58122687]","1181, 907 01 Dolná Polianka, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",9 mins,524,6.9 km,6902
Poriadie,"[48.77895499, 17.60910704]","Poriadie 85, 906 22 Poriadie, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",12 mins,728,8.1 km,8145
Priepasné,"[48.69284771, 17.58375712]","906 15 Priepasné, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",15 mins,890,10.8 km,10841
Rudník,"[48.75722971, 17.62675422]","581, 906 23 Rudník, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",9 mins,529,8.0 km,7993
Stará Myjava,"[48.80832615, 17.59658369]","Mizerákovci 41, 907 01 Stará Myjava, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",17 mins,1002,11.3 km,11304
Vrbovce,"[48.80061419, 17.47025488]","500, 906 06 Vrbovce, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",11 mins,660,8.1 km,8135
Hrašné,"[48.75127021, 17.66899564]","581, 916 14 Hrašné, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",12 mins,714,11.3 km,11306
Kostolné,"[48.73345218, 17.68757365]","1186, 916 13 Kostolné, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",17 mins,1022,14.7 km,14739
Krajné,"[48.70406224, 17.6676789]","Krajné 385, 916 16 Krajné, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",18 mins,1080,14.4 km,14350
Podkylava,"[48.67973912, 17.650947]","Podkylava 251, 916 16 Podkylava, Slovakia",Myjava,"[48.75026638, 17.53609825]","Myjava 326, 907 03 Myjava, Slovakia",24 mins,1465,18.8 km,18844
Záhorie (vojenský obvod),"[48.52545862, 17.19701568]","Unnamed Road, 901 01, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",21 mins,1247,16.3 km,16284
Malé Leváre,"[48.50481284, 16.95614211]","Unnamed Road, 908 74 Malé Leváre, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",17 mins,1010,11.9 km,11920
Plavecké Podhradie,"[48.48104521, 17.27364599]","Plavecké Podhradie 171, 906 36 Plavecké Podhradie, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",24 mins,1469,22.2 km,22156
Plavecký Mikuláš,"[48.50952831, 17.30104307]","Plavecký Mikuláš 386, 906 35 Plavecký Mikuláš, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",29 mins,1717,26.0 km,26022
Rohožník,"[48.43960152, 17.19492559]","Unnamed Road, Sološnica, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",28 mins,1663,21.2 km,21177
Sološnica,"[48.46150621, 17.23673401]","Sološnica 229, 906 37 Sološnica, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",21 mins,1237,18.1 km,18092
Studienka,"[48.52953615, 17.13628441]","Studienka 291, 908 75 Studienka, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",16 mins,963,14.9 km,14857
Veľké Leváre,"[48.50716831, 17.00296263]","Družstevná 615, 908 73 Veľké Leváre, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",11 mins,639,8.8 km,8763
Závod,"[48.54526049, 17.05157863]","Unnamed Road, 908 72 Závod, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",20 mins,1216,15.2 km,15216
Borinka,"[48.2514619, 17.10705607]","Borinka 404, 900 32 Borinka, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",27 mins,1612,27.2 km,27237
Gajary,"[48.45940871, 16.91508932]","Unnamed Road, 900 61 Gajary, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",14 mins,853,9.5 km,9536
Jablonové,"[48.34810938, 17.09305682]","Jablonové 290, 900 54 Jablonové, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",18 mins,1079,16.8 km,16810
Jakubov,"[48.41053828, 16.92873849]","Jakubov, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",12 mins,747,9.4 km,9398
Kostolište,"[48.44617843, 16.98261765]","Kostolište 200, 900 62 Kostolište, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",7 mins,446,3.5 km,3491
Kuchyňa,"[48.40518242, 17.18063581]","Unnamed Road, 900 52 Kuchyňa, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",23 mins,1390,19.4 km,19367
Láb,"[48.36050999, 16.9560403]","Unnamed Road, 900 67 Láb, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",22 mins,1321,13.6 km,13594
Lozorno,"[48.31916891, 17.07313008]","Unnamed Road, 900 55 Lozorno, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",23 mins,1354,19.4 km,19364
Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",1 min,0,1 m,0
Marianka,"[48.24691035, 17.06452874]","Lesná 13, 900 33 Marianka, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",26 mins,1551,29.3 km,29331
Pernek,"[48.36667673, 17.15310375]","Pernek 126, 900 53 Pernek, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",14 mins,861,13.4 km,13416
Plavecký Štvrtok,"[48.39286288, 16.97932853]","Unnamed Road, 900 68 Plavecký Štvrtok, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",14 mins,832,6.9 km,6911
Stupava,"[48.28023445, 17.02859785]","Pažitná 141/6, 900 31 Stupava, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",17 mins,999,19.8 km,19848
Suchohrad,"[48.405087, 16.87935477]","Unnamed Road, 900 64 Suchohrad, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",16 mins,962,13.9 km,13947
Vysoká pri Morave,"[48.32862498, 16.90717604]","Zemianske III. 167/1, 900 66 Vysoká pri Morave, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",28 mins,1665,24.3 km,24332
Záhorská Ves,"[48.37579541, 16.86788117]","1106, 900 65 Záhorská Ves, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",19 mins,1154,17.8 km,17839
Zohor,"[48.31974728, 16.97589083]","Na pasienkoch 5, 900 51 Zohor, Slovakia",Malacky,"[48.43849704, 17.02211008]","Na brehu 4, 901 01 Malacky, Slovakia",17 mins,1035,18.6 km,18595
Bolešov,"[49.00532376, 18.13221339]","018 53 Bolešov, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",27 mins,1595,18.6 km,18589
Červený Kameň,"[49.10487166, 18.14740593]","1922, 018 56 Červený Kameň, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",24 mins,1468,19.1 km,19093
Dubnica nad Váhom,"[48.95104032, 18.20803395]","Štúrova 1554, 018 41 Dubnica nad Váhom, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",17 mins,1013,11.0 km,11004
Dulov,"[49.03970436, 18.24560481]","507, 018 52 Dulov, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",12 mins,733,9.4 km,9390
Horná Poruba,"[48.94186499, 18.3013063]","Horná Poruba 223, 018 35 Horná Poruba, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",10 mins,610,8.5 km,8453
Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",1 min,0,1 m,0
Košeca,"[49.00409255, 18.28272032]","Unnamed Road, 018 64 Košeca, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",13 mins,789,6.8 km,6840
Ladce,"[49.02636267, 18.30196127]","Janka Kráľa 501, 018 63 Ladce, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",17 mins,1000,10.8 km,10828
Košecké Podhradie,"[48.9689933, 18.33651096]","Košecké Podhradie 617, 018 31 Košecké Podhradie, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",17 mins,1001,12.7 km,12724
Mikušovce,"[49.06820424, 18.19846738]","018 57 Mikušovce, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",19 mins,1126,13.3 km,13300
Nová Dubnica,"[48.93037523, 18.16877548]","Slobody 357, 018 51 Nová Dubnica, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",21 mins,1280,17.0 km,17019
Pruské,"[49.03064069, 18.20806241]","Pruské 301, 018 52 Pruské, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",12 mins,700,7.3 km,7267
Tuchyňa,"[49.04488921, 18.21745493]","Tuchyňa 311, 018 55 Tuchyňa, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",14 mins,843,9.7 km,9748
Zliechov,"[48.94252902, 18.43208194]","Unnamed Road, 018 32 Zliechov, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",26 mins,1569,21.6 km,21643
Borčice,"[48.9881503, 18.12776763]","Unnamed Road, 018 53 Borčice, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",19 mins,1152,15.2 km,15207
Kameničany,"[49.0095673, 18.15092009]","Kameničany 181, 018 54 Kameničany, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",21 mins,1267,13.0 km,12950
Sedmerovec,"[49.01600524, 18.17798024]","Kráčina, 018 54 Sedmerovec, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",16 mins,963,10.5 km,10517
Slavnica,"[49.01695965, 18.15753438]","Podhorie 182, 018 54 Slavnica, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",18 mins,1097,12.1 km,12092
Krivoklát,"[49.04795821, 18.13426481]","Krivoklát 56, 018 52 Krivoklát, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",37 mins,2241,17.1 km,17132
Vršatské Podhradie,"[49.06695995, 18.13285873]","Unnamed Road, 018 52 Krivoklát, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",29 mins,1764,15.0 km,15027
Bohunice,"[49.02480904, 18.18793783]","1919, 018 52 Bohunice, Slovakia",Ilava,"[48.97967403, 18.24544097]","Sídlisko Skala, 019 01 Ilava, Slovakia",14 mins,845,8.7 km,8717
Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",1 min,0,1 m,0
Adamovské Kochanovce,"[48.86370063, 17.91673804]","Unnamed Road, 913 05 Adamovské Kochanovce, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",21 mins,1280,13.9 km,13943
Bobot,"[48.82677017, 18.20322334]","Unnamed Road, 913 25 Bobot, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",35 mins,2090,25.5 km,25460
Dolná Poruba,"[48.90330393, 18.29301711]","914 43 Dolná Poruba, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",29 mins,1758,22.9 km,22884
Dolná Súča,"[48.96507764, 18.02007833]","1882, 913 32 Dolná Súča, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",19 mins,1162,13.1 km,13097
Drietoma,"[48.9213009, 17.93071006]","913 03 Drietoma-Brúsne, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",19 mins,1144,14.9 km,14898
Dubodiel,"[48.76099084, 18.08870969]","Unnamed Road, 913 23 Dubodiel, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",30 mins,1788,23.0 km,23013
Horná Súča,"[48.98720462, 17.95774459]","1882, 913 33 Horná Súča, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",26 mins,1558,19.0 km,19024
Horňany,"[48.78306067, 18.20178152]","913 24 Horňany, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",26 mins,1554,23.2 km,23218
Horné Srnie,"[49.01625877, 18.07670753]","914 42 Horné Srnie, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",24 mins,1441,21.0 km,20950
Hrabovka,"[48.93495624, 18.03261718]","Unnamed Road, 913 32 Dolná Súča, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",15 mins,899,8.8 km,8842
Chocholná-Velčice,"[48.89359269, 17.90152595]","1876, 913 04 Chocholná - Velčice, Slovakia",Trenčín,"[48.89630878, 18.04723436]","Gen. M. R. Štefánika 3, 911 01 Trenčín, Slovakia",21 mins,1236,14.5 km,14538
