Názov obce,GPS,Názov obce (google maps),Okres,GPS,Okres (google maps),Čas autom,Čas autom (sekundy),Vzdialenosť autom,Vzdialenosť autom (metre)
Výrava,"[49.20559593, 22.00557637]","3867, 067 16 Výrava, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",24 mins,1461,18.9 km,18879
Zbojné,"[49.14880466, 21.99783015]","3846, 067 13 Zbojné, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",28 mins,1654,23.6 km,23569
Zbudská Belá,"[49.16475993, 21.95820048]","Unnamed Road, 067 01 Zbudská Belá, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",32 mins,1928,26.6 km,26614
Rokytovce,"[49.26978079, 21.87280885]","575, Rokytovce, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",17 mins,993,12.6 km,12643
Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",1 min,0,1 m,0
Bajč,"[47.9289064, 18.2268886]","946 54 Bajč, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",35 mins,2129,29.5 km,29494
Bodza,"[47.84792497, 17.85224987]","Unnamed Road, Sokolce, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",33 mins,1973,29.8 km,29814
Brestovec,"[47.87614485, 17.83588494]","Unnamed Road, 946 17 Sokolce, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",35 mins,2102,32.6 km,32616
Búč,"[47.80330693, 18.46890977]","Búč, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",44 mins,2660,36.0 km,35975
Čalovec,"[47.83592115, 17.96733237]","1459, 946 02 Čalovec, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",21 mins,1237,16.2 km,16187
Číčov,"[47.78346579, 17.75836521]","1422, 946 19 Číčov, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",34 mins,2047,32.9 km,32923
Dedina Mládeže,"[47.95278303, 17.9900713]","Unnamed Road, 946 03 Dedina Mládeže, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",34 mins,2053,26.7 km,26746
Svätý Peter,"[47.83489473, 18.23204542]","Unnamed Road, 946 57 Svätý Peter, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",24 mins,1468,19.1 km,19149
Dulovce,"[47.87328473, 18.26817581]","Novozámocká 101-107, 946 56 Dulovce, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",30 mins,1805,24.3 km,24314
Hurbanovo,"[47.86761247, 18.19033812]","Krivá 1744/4, 947 01 Hurbanovo, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",25 mins,1501,20.5 km,20489
Chotín,"[47.81042175, 18.22810146]","Chotín, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",24 mins,1411,16.8 km,16839
Imeľ,"[47.89618418, 18.13326472]","Imeľ, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",31 mins,1856,25.9 km,25919
Iža,"[47.76456277, 18.22972144]","Iža 548, 946 39 Iža, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",23 mins,1381,14.7 km,14676
Kameničná,"[47.84237671, 18.00712693]","573, 946 01 Kameničná, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",16 mins,931,12.0 km,11972
Klížska Nemá,"[47.75610795, 17.83403098]","946 19 Klížska Nemá, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",31 mins,1879,28.7 km,28669
Kolárovo,"[47.90677392, 17.96990694]","Unnamed Road, 946 03 Kolárovo, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",29 mins,1757,23.3 km,23277
Kravany nad Dunajom,"[47.77367806, 18.48352344]","Unnamed Road, 946 36 Kravany nad Dunajom, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",41 mins,2449,36.2 km,36157
Lipové,"[47.84572649, 17.8710121]","Unnamed Road, 946 14 Lipové, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",33 mins,1971,30.0 km,30046
Marcelová,"[47.79161712, 18.28916722]","Novodvorský rad 32-47, 946 32 Marcelová, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",29 mins,1751,22.4 km,22428
Hájske,"[48.2575868, 17.87352935]","Hájske 266, 951 33 Hájske, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",24 mins,1434,19.1 km,19056
Močenok,"[48.21247084, 17.93887168]","Močenok, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",15 mins,914,11.2 km,11156
